STRUCTURE,STRUCTURE_ID,freq: Time frequency,unit: Unit of measure,mot_nrg: Motor energy,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag) V2 structure,CONF_STATUS: Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2022,642418,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2023,703839,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE_X_HYB: Diesel (excluding hybrids)  ,DE: Germany,2017,1336776,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE_X_HYB: Diesel (excluding hybrids)  ,DE: Germany,2018,1111130,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE_X_HYB: Diesel (excluding hybrids)  ,DE: Germany,2019,1152733,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE_X_HYB: Diesel (excluding hybrids)  ,DE: Germany,2020,819896,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE_X_HYB: Diesel (excluding hybrids)  ,DE: Germany,2021,524446,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE_X_HYB: Diesel (excluding hybrids)  ,DE: Germany,2022,472274,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE_X_HYB: Diesel (excluding hybrids)  ,DE: Germany,2023,486581,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2014,8522,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2015,12363,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2016,11410,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2017,25056,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2018,36062,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2019,63281,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2020,194163,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2021,355961,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2022,470559,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC: Electricity,DE: Germany,2023,524219,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_HYB: Hybrid diesel-electric,DE: Germany,2017,1228,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_HYB: Hybrid diesel-electric,DE: Germany,2018,17312,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_HYB: Hybrid diesel-electric,DE: Germany,2019,70102,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_HYB: Hybrid diesel-electric,DE: Germany,2020,107009,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_HYB: Hybrid diesel-electric,DE: Germany,2021,143234,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_HYB: Hybrid diesel-electric,DE: Germany,2022,153135,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_HYB: Hybrid diesel-electric,DE: Germany,2023,208149,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_PI: Plug-in hybrid diesel-electric  ,DE: Germany,2017,1191,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_PI: Plug-in hybrid diesel-electric  ,DE: Germany,2018,583,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_PI: Plug-in hybrid diesel-electric  ,DE: Germany,2019,7432,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_PI: Plug-in hybrid diesel-electric  ,DE: Germany,2020,22431,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_PI: Plug-in hybrid diesel-electric  ,DE: Germany,2021,23581,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_PI: Plug-in hybrid diesel-electric  ,DE: Germany,2022,17009,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_DIE_PI: Plug-in hybrid diesel-electric  ,DE: Germany,2023,9109,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_HYB: Hybrid electric-petrol,DE: Germany,2017,54009,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_HYB: Hybrid electric-petrol,DE: Germany,2018,81503,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_HYB: Hybrid electric-petrol,DE: Germany,2019,123799,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_HYB: Hybrid electric-petrol,DE: Germany,2020,220385,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_HYB: Hybrid electric-petrol,DE: Germany,2021,285898,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_HYB: Hybrid electric-petrol,DE: Germany,2022,312090,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_HYB: Hybrid electric-petrol,DE: Germany,2023,456426,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_PI: Plug-in hybrid petrol-electric  ,DE: Germany,2017,28244,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_PI: Plug-in hybrid petrol-electric  ,DE: Germany,2018,30839,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_PI: Plug-in hybrid petrol-electric  ,DE: Germany,2019,37814,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_PI: Plug-in hybrid petrol-electric  ,DE: Germany,2020,177963,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_PI: Plug-in hybrid petrol-electric  ,DE: Germany,2021,301856,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_PI: Plug-in hybrid petrol-electric  ,DE: Germany,2022,345083,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ELC_PET_PI: Plug-in hybrid petrol-electric  ,DE: Germany,2023,166614,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2014,8194,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2015,5285,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2016,3240,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2017,3723,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2018,10804,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2019,7623,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2020,7159,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2021,3916,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2022,1846,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,GAS: Natural gas,DE: Germany,2023,1327,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2014,3,i: value imputed by Eurostat or other receiving agencies,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2015,72,i: value imputed by Eurostat or other receiving agencies,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2016,49,i: value imputed by Eurostat or other receiving agencies,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2017,122,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2018,154,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2019,210,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2020,311,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2021,466,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2022,836,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,HYD_FCELL: Hydrogen and fuel cells ,DE: Germany,2023,267,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2014,6234,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2015,4716,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2016,2990,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2017,4400,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2018,4663,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2019,7256,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2020,6543,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2021,10118,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2022,15006,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,LPG: Liquefied petroleum gases (LPG),DE: Germany,2023,13147,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2014,27529,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2015,33838,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2016,48063,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2017,25,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2018,28,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2019,117,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2020,95,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2021,68,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2022,74,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,OTH: Other,DE: Germany,2023,110,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2014,1533726,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2015,1611389,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2016,1746291,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2017,2068741,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2018,2255042,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2019,2298504,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2020,1760071,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2021,1560342,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2022,1520618,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET: Petroleum products,DE: Germany,2023,1601700,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET_X_HYB: Petrol (excluding hybrids)  ,DE: Germany,2017,1986488,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET_X_HYB: Petrol (excluding hybrids)  ,DE: Germany,2018,2142700,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET_X_HYB: Petrol (excluding hybrids)  ,DE: Germany,2019,2136891,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET_X_HYB: Petrol (excluding hybrids)  ,DE: Germany,2020,1361723,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET_X_HYB: Petrol (excluding hybrids)  ,DE: Germany,2021,972588,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET_X_HYB: Petrol (excluding hybrids)  ,DE: Germany,2022,863445,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,PET_X_HYB: Petrol (excluding hybrids)  ,DE: Germany,2023,978660,,
